,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
116,W610X155,W24X104,19800,612,155.0,257.0,73.9,4230000.0,667000.0,325,19.1,12.7,1290000000.0,108000000.0
117,W310X158,W12X106,20100,328,158.0,139.0,79.0,2380000.0,808000.0,310,25.1,15.5,388000000.0,125000000.0
118,W460X158,W18X106,20100,475,158.0,199.0,67.6,3340000.0,646000.0,284,23.9,15,795000000.0,91600000.0
119,W760X161,W30X108,20500,757,161.0,302.0,54.6,4900000.0,457000.0,267,19.3,13.8,1860000000.0,60800000.0
120,W360X162,W14X109,20600,363,162.0,158.0,94.7,2830000.0,1000000.0,371,21.8,13.3,516000000.0,186000000.0
121,W530X165,W21X111,21000,546,165.0,230.0,73.7,4080000.0,729000.0,312,22.2,14,1110000000.0,114000000.0
122,W250X167,W10X112,21200,290,167.0,118.0,68.1,2060000.0,742000.0,264,31.8,19.2,298000000.0,98200000.0
123,W690X170,W27X114,21700,693,170.0,279.0,55.4,4900000.0,516000.0,257,23.6,14.5,1700000000.0,66200000.0
124,W760X173,W30X116,22100,762,173.0,305.0,55.6,5390000.0,513000.0,267,21.6,14.4,2050000000.0,68300000.0
125,W610X174,W24X117,22200,617,174.0,257.0,74.7,4770000.0,762000.0,325,21.6,14,1470000000.0,124000000.0
126,W840X176,W33X118,22400,836,176.0,330.0,58.9,5880000.0,534000.0,292,18.8,14,2460000000.0,77800000.0
127,W460X177,W18X119,22600,483,177.0,201.0,68.3,3790000.0,736000.0,287,26.9,16.6,912000000.0,105000000.0
128,W310X179,W12X120,22700,333,179.0,140.0,79.5,2670000.0,918000.0,312,28.2,18,445000000.0,144000000.0
129,W360X179,W14X120,22800,368,179.0,158.0,95.0,3110000.0,1110000.0,373,23.9,15,574000000.0,206000000.0
130,W530X182,W21X122,23200,551,182.0,231.0,74.2,4470000.0,806000.0,315,24.4,15.2,1230000000.0,127000000.0
131,W760X185,W30X124,23500,767,185.0,307.0,56.6,5820000.0,564000.0,267,23.6,14.9,2230000000.0,75300000.0
132,W690X192,W27X129,24400,701,192.0,284.0,56.1,5650000.0,603000.0,254,27.9,15.5,1980000000.0,76600000.0
133,W840X193,W33X130,24700,841,193.0,335.0,60.7,6650000.0,621000.0,292,21.7,14.7,2790000000.0,90700000.0
134,W460X193,W18X130,24700,490,193.0,204.0,68.6,4200000.0,818000.0,284,30.5,17,1020000000.0,116000000.0
135,W610X195,W24X131,24900,622,195.0,259.0,75.4,5390000.0,869000.0,328,24.4,15.4,1670000000.0,142000000.0
136,W530X196,W21X132,25000,554,196.0,232.0,74.4,4830000.0,877000.0,315,26.4,16.5,1340000000.0,139000000.0
137,W360X196,W14X132,25000,373,196.0,160.0,95.5,3420000.0,1220000.0,373,26.2,16.4,637000000.0,228000000.0
138,W760X196,W30X132,25000,770,196.0,310.0,57.2,6230000.0,610000.0,267,25.4,15.6,2400000000.0,81600000.0
139,W920X201,W36X135,25700,904,201.0,356.0,60.5,7190000.0,618000.0,305,20.1,15.2,3250000000.0,93700000.0
140,W310X202,W12X136,25700,340,202.0,142.0,80.3,3050000.0,1050000.0,315,31.8,20.1,516000000.0,166000000.0
141,W840X210,W33X141,26800,846,210.0,340.0,61.7,7340000.0,700000.0,292,24.4,15.4,3100000000.0,102000000.0
142,W460X213,W18X143,27100,495,213.0,205.0,69.1,4620000.0,909000.0,284,33.5,18.5,1140000000.0,129000000.0
143,W360X216,W14X145,27500,376,216.0,161.0,101.0,3800000.0,1430000.0,394,27.7,17.3,712000000.0,282000000.0
144,W610X217,W24X146,27700,627,217.0,262.0,76.5,6080000.0,991000.0,328,27.7,16.5,1910000000.0,163000000.0
145,W530X219,W21X147,27900,561,219.0,233.0,74.9,5390000.0,985000.0,318,29.2,18.3,1510000000.0,157000000.0
146,W690X217,W27X146,27900,696,217.0,292.0,81.3,6780000.0,1040000.0,356,24.8,15.4,2360000000.0,184000000.0
147,W760X220,W30X148,28100,780,220.0,315.0,57.9,7140000.0,710000.0,267,30,16.5,2780000000.0,94500000.0
148,W1000X222,W40X149,28300,970,222.0,381.0,58.2,8410000.0,636000.0,300,21.1,16,4080000000.0,95300000.0
149,W920X223,W36X150,28600,912,223.0,363.0,62.7,8260000.0,739000.0,305,23.9,15.9,3760000000.0,112000000.0
150,W310X226,W12X152,28800,348,226.0,144.0,81.0,3420000.0,1190000.0,318,35.6,22.1,595000000.0,189000000.0
151,W840X226,W33X152,29000,851,226.0,343.0,62.7,7980000.0,773000.0,295,26.9,16.1,3400000000.0,114000000.0
152,W460X235,W18X158,29900,500,235.0,206.0,69.6,5080000.0,1010000.0,287,36.6,20.6,1270000000.0,144000000.0
153,W360X237,W14X159,30100,381,237.0,162.0,102.0,4160000.0,1580000.0,396,30.2,18.9,791000000.0,311000000.0
154,W920X238,W36X160,30300,914,238.0,366.0,63.5,8880000.0,805000.0,305,25.9,16.5,4060000000.0,123000000.0
155,W690X240,W27X161,30700,701,240.0,292.0,82.0,7510000.0,1160000.0,356,27.4,16.8,2630000000.0,207000000.0
156,W610X241,W24X162,30800,635,241.0,264.0,77.5,6780000.0,1120000.0,330,31,17.9,2150000000.0,184000000.0
157,W530X248,W21X166,31500,572,248.0,238.0,75.9,6230000.0,1150000.0,315,34.5,19.1,1780000000.0,181000000.0
158,W1000X249,W40X167,31800,980,249.0,389.0,61.0,9830000.0,785000.0,300,26.2,16.5,4830000000.0,118000000.0
159,W840X251,W33X169,31900,859,251.0,348.0,63.5,9000000.0,883000.0,292,31,17,3870000000.0,129000000.0
160,W920X253,W36X170,32300,919,253.0,368.0,64.3,9520000.0,872000.0,305,27.9,17.3,4370000000.0,133000000.0
161,W310X253,W12X170,32300,356,253.0,146.0,81.8,3850000.0,1350000.0,320,39.6,24.4,687000000.0,215000000.0
162,W760X257,W30X173,32800,772,257.0,323.0,86.9,8870000.0,1310000.0,381,27.2,16.6,3430000000.0,249000000.0
163,W460X260,W18X175,33200,508,260.0,208.0,70.1,5640000.0,1130000.0,290,40.4,22.6,1440000000.0,163000000.0
164,W360X262,W14X176,33400,386,262.0,163.0,102.0,4600000.0,1750000.0,399,33.3,21.1,891000000.0,349000000.0
165,W610X262,W24X176,33400,640,262.0,267.0,77.2,7370000.0,1220000.0,328,34,19.1,2360000000.0,199000000.0
166,W690X265,W27X178,33900,706,265.0,295.0,82.6,8280000.0,1290000.0,358,30.2,18.4,2920000000.0,231000000.0
167,W1000X272,W40X183,34400,991,272.0,399.0,63.2,11100000.0,918000.0,300,30.5,16.5,5490000000.0,138000000.0
