,level_0,index,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
41,41,41,W920X390,W36X262,49800,937,390.0,389.0,95.5,15900.0,2160.0,422,36.6,21.3,7450.0,454.0
42,42,42,W920X368,W36X247,46800,932,368.0,386.0,95.0,15000.0,2020.0,419,34.3,20.3,6950.0,420.0
43,43,43,W920X344,W36X231,44000,927,344.0,384.0,94.2,14000.0,1870.0,419,32,19.3,6490.0,391.0
44,44,44,W920X381,W36X256,48600,951,381.0,378.0,67.3,14700.0,1420.0,310,43.9,24.4,6990.0,220.0
45,45,45,W920X345,W36X232,43900,943,345.0,376.0,66.5,13300.0,1270.0,307,39.9,22.1,6240.0,195.0
46,46,46,W920X313,W36X210,39900,932,313.0,371.0,65.5,11800.0,1110.0,310,34.5,21.1,5490.0,171.0
47,47,47,W920X289,W36X194,36800,927,289.0,371.0,65.0,10900.0,1010.0,307,32,19.4,5040.0,156.0
48,48,48,W920X271,W36X182,34600,922,271.0,368.0,64.8,10200.0,944.0,307,30,18.4,4700.0,144.0
49,49,49,W920X253,W36X170,32300,919,253.0,368.0,64.3,9520.0,872.0,305,27.9,17.3,4370.0,133.0
50,50,50,W920X238,W36X160,30300,914,238.0,366.0,63.5,8880.0,805.0,305,25.9,16.5,4060.0,123.0
51,51,51,W920X223,W36X150,28600,912,223.0,363.0,62.7,8260.0,739.0,305,23.9,15.9,3760.0,112.0
52,52,52,W920X201,W36X135,25700,904,201.0,356.0,60.5,7190.0,618.0,305,20.1,15.2,3250.0,93.7
53,53,53,W840X576,W33X387,73500,914,576.0,371.0,95.8,22100.0,3280.0,411,57.9,32,10100.0,674.0
54,54,54,W840X527,W33X354,67100,904,527.0,368.0,95.0,20300.0,2970.0,409,53.1,29.5,9160.0,608.0
55,55,55,W840X473,W33X318,60500,894,473.0,368.0,94.2,18200.0,2640.0,406,48,26.4,8120.0,537.0
56,56,56,W840X433,W33X291,55200,884,433.0,366.0,93.5,16700.0,2390.0,404,43.9,24.4,7370.0,483.0
57,57,57,W840X392,W33X263,49900,876,392.0,363.0,93.0,15100.0,2150.0,401,39.9,22.1,6620.0,433.0
58,58,58,W840X359,W33X241,45900,869,359.0,358.0,91.9,13600.0,1930.0,404,35.6,21.1,5910.0,388.0
59,59,59,W840X329,W33X221,42100,861,329.0,358.0,91.2,12400.0,1740.0,401,32.5,19.7,5370.0,350.0
60,60,60,W840X299,W33X201,38100,856,299.0,356.0,90.4,11200.0,1560.0,399,29.2,18.2,4830.0,312.0
61,61,61,W840X251,W33X169,31900,859,251.0,348.0,63.5,9000.0,883.0,292,31,17,3870.0,129.0
62,62,62,W840X226,W33X152,29000,851,226.0,343.0,62.7,7980.0,773.0,295,26.9,16.1,3400.0,114.0
63,63,63,W840X210,W33X141,26800,846,210.0,340.0,61.7,7340.0,700.0,292,24.4,15.4,3100.0,102.0
64,64,64,W840X193,W33X130,24700,841,193.0,335.0,60.7,6650.0,621.0,292,21.7,14.7,2790.0,90.7
65,65,65,W840X176,W33X118,22400,836,176.0,330.0,58.9,5880.0,534.0,292,18.8,14,2460.0,77.8
66,66,66,W760X582,W30X391,74200,843,582.0,340.0,93.2,20500.0,3240.0,396,62,34.5,8620.0,645.0
67,67,67,W760X531,W30X357,67700,833,531.0,338.0,92.5,18700.0,2930.0,394,56.9,31.5,7780.0,579.0
68,68,68,W760X484,W30X326,61900,823,484.0,335.0,91.4,17000.0,2650.0,391,52.1,29,6990.0,516.0
69,69,69,W760X434,W30X292,55500,813,434.0,335.0,90.9,15200.0,2360.0,389,47,25.9,6200.0,458.0
70,70,70,W760X389,W30X261,49700,803,389.0,333.0,89.7,13600.0,2080.0,386,41.9,23.6,5450.0,399.0
71,71,71,W760X350,W30X235,44700,795,350.0,330.0,89.2,12300.0,1870.0,384,38.1,21.1,4870.0,356.0
